"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3243","TC_PD_8: Verify Add to Cart works correctly with valid quantity","chromium","2026-03-22","failed","2026-03-22","Product Detail Page","itemDetail.spec.ts","",""
"","30064","TC_CP_19 : Verify that change password failed if empty/blank confirm password.","chromium","2026-03-22","broken","2026-03-22","Negative case:","change-password.spec.ts","",""
"","0","TC_CP_16 : Verify that change password failed if the new password contains multiple spaces.","chromium","2026-03-22","skipped","2026-03-22","Negative case:","change-password.spec.ts","",""
"","3264","orderditail check","chromium","2026-03-22","passed","2026-03-22","","check.spec.ts","",""
"","30071","TC_CP_06 : Verify that change password failed if the new password does not contain a special character.","chromium","2026-03-22","broken","2026-03-22","Negative case:","change-password.spec.ts","",""
"","26275","Laptop dell","chromium","2026-03-22","failed","2026-03-22","Search with keyword","search.spec.ts","",""
"","30087","TC_CP_09 : Verify that all UI elements on the Change Password page are displayed correctly.","chromium","2026-03-22","broken","2026-03-22","","change-password.spec.ts","",""
"","0","TC_CP_15 : Verify that change password failed if the new password ends with a space.","chromium","2026-03-22","skipped","2026-03-22","Negative case:","change-password.spec.ts","",""
"","1146","TC_PD_6: Verify quantity only accepts numeric values","chromium","2026-03-22","failed","2026-03-22","Product Detail Page","itemDetail.spec.ts","",""
"","980","TC_PD_3: Verify inventory is updated after checkout","chromium","2026-03-22","failed","2026-03-22","Product Detail Page","itemDetail.spec.ts","",""
"","1","TC_CP_08 : Verify that change password failed if the current password is incorrect.","chromium","2026-03-22","skipped","2026-03-22","Negative case:","change-password.spec.ts","",""
"","3557","TC_PD_8: Verify Buy Now works correctly with valid quantity","chromium","2026-03-22","failed","2026-03-22","Product Detail Page","itemDetail.spec.ts","",""
"","0","new base","chromium","2026-03-22","skipped","2026-03-22","","newbase.spec.ts","",""
"","30090","TC_CP_13 : Verify that change password failed if the new password contains invalid characters.","chromium","2026-03-22","broken","2026-03-22","Negative case:","change-password.spec.ts","",""
"","9086","checkuot Check","chromium","2026-03-22","passed","2026-03-22","","check.spec.ts","",""
"","2413","Login succesfully with press Enter","chromium","2026-03-22","passed","2026-03-22","Login succesfully","1Login.spec.ts","",""
"","4096","Login failed with empty/blank Email and password","chromium","2026-03-22","passed","2026-03-22","Check message when Login failed with incorrect account info","1Login.spec.ts","",""
"","1","Test with existing Chrome profile","chromium","2026-03-22","skipped","2026-03-22","","check.spec.ts","",""
"","1","thinkpad","chromium","2026-03-22","skipped","2026-03-22","TC_4: verify that the product list is display correctly when searching with laptop model name. ( 1, 2, more than two product name matching )","search.spec.ts","",""
"","26164","Laptop lenovo","chromium","2026-03-22","failed","2026-03-22","Search with keyword","search.spec.ts","",""
"","17109","TC_9: Verify the product list is not display any products when searches with keyword does not exist.","chromium","2026-03-22","passed","2026-03-22","","check.spec.ts","",""
"","2679","Login failed with incorrect Email","chromium","2026-03-22","passed","2026-03-22","Check message when Login failed with incorrect account info","1Login.spec.ts","",""
"","13346","TC_12: Verify that the CI run successfully","chromium","2026-03-22","passed","2026-03-22","","testCI.spec.ts","",""
"","0","TC_9: Verify the product list is not display any products when searches with keyword does not exist.","chromium","2026-03-22","skipped","2026-03-22","","search.spec.ts","",""
"","2933","xps","chromium","2026-03-22","failed","2026-03-22","TC_4: verify that the product list is display correctly when searching with laptop model name. ( 1, 2, more than two product name matching )","search.spec.ts","",""
